Distancia,wide,low,wide-low,low-wide
1.5,11.912756651269731,1.7567759659040973,2.5935073393180694,9.263644444246445
2.0,9.767157405886625,-0.2529773737628318,0.21899490473575867,6.835942156967413
2.5,8.294412947816205,-1.5367007280523381,-1.1995188480739856,5.536082244249769
3.3,6.434285110153773,-3.0651550543118944,-3.063237497587778,4.303117909934663
4.3,5.162992605237438,-5.10733612501609,-4.529918798363944,2.672608159249833
5.6,3.860271205366381,-6.154451104844497,-5.290002366176026,1.1459068674398836
7.2,2.135883302355367,-7.92688756443583,-7.759595215056777,-0.8123560445498939
9.4,1.1515325661359057,-9.079722937876127,-9.094869501646613,-0.7321250713196221
12.0,-0.5972413363923934,-10.577667411749466,-10.577725876121214,1.030428240809215
15.5,-1.4491804510082744,-12.110049094656397,-12.11007549070301,-0.16168153380829864
20.0,-4.544718537184103,-15.649728171997722,-15.649738488382603,-2.375031412090422
26.0,-7.323158223711545,-15.782758823484308,-15.782765315595455,-5.138338931985061
